id,standard,g_width,g_height,standard_w,standard_h
1,0920,416,914,900,2000
2,0922,416,1144,900,2230
3,1220,566,914,1200,2000
4,1222,566,1144,1200,2230
5,1320,641,914,1350,2000
6,1322,641,1144,1350,2230
7,1820,866,914,1800,2000
8,1822,866,1144,1800,2230
